year,gdp_cy_b251022g,pop_cy_b251022g,pc_cy_b251022g,pcmed_cy_b251022g,inc_cy_b251022g,inc_smooth_taxadj_cy_b251022g
1984,4037.65,236.394,.4843875,.3021622400596716,2910.775,2910.7749
1985,4339,238.50625,.501285,.3206024345642086,3105.075,3105.075
1986,4579.625,240.6825,.51219,.3395899031882355,3293.4,3293.3999
1987,4855.25,242.8425,.5280175,.3610619358739144,3457.225,3457.2251
1988,5236.425,245.061,.548655,.3881335980844384,3774.075,3774.075
1989,5641.6,247.38725,.572615,.4209190635182666,4053.25,4053.25
1990,5963.125,250.181,.5977525,.4559003238880189,4318.625,4318.625
1991,6158.125,253.53025,.61774,.4906170448527221,4501.025,4501.0249
1992,6520.325000000001,256.92175,.6342025,.5240818556523222,4804.7,4804.7002
1993,6858.55,260.2815,.6500025,.5505259323394566,5004.125,5004.125
1994,7287.25,263.4545,.663565,.5716255141824389,5247.825,5247.8252
1995,7639.75,266.5875,.6775375,.5906648585078103,5534.95,5534.9502
1996,8073.125,269.71425,.692025,.60443249686487,5829.125,5829.125
1997,8577.549999999999,272.95825,.70407,.6161936051247021,6142.175,6142.1748
1998,9062.825000000001,276.15425,.7096725,.6282405686661522,6555.95,6555.9502
1999,9631.175000000001,279.3275,.7200150000000001,.6434993254741822,6866.675,6866.6748
2000,10250.95,282.39825,.7382225,.6622907542201643,7384.975,7384.9751
2001,10581.925,285.2255,.75302,.685580336567464,7754.1,7754.1001
2002,10929.1,287.95475,.76291,.7046780415660658,8097.875,8097.875
2003,11456.45,290.62625,.77894,.729763844614693,8478.225,8478.2246
2004,12217.175,293.26225,.798275,.7554120578519566,8967.15,8967.1504
2005,13039.2,295.99275,.8212725,.778848918477196,9333.65,9333.6504
2006,13815.6,298.8175,.8444,.8034571010523578,9945.025,9945.0254
2007,14474.25,301.696,.8660675,.8297431260993788,10439.65,10439.65
2008,14769.85,304.543,.8916975,.8511868843056828,10918.15,10918.15
2009,14478.05,307.24025,.8892125,.8746031685630382,10913.3,10913.3
2010,15048.975,309.8385,.905135,.8973651691718975,11319,11319
2011,15599.725,312.295,.9280375,.9155817891759226,11855.875,11855.875
2012,16253.95,314.72525,.94534,.9337331395708635,12408.275,12408.275
2013,16880.675,317.09925,.957805,.9450887687555697,12391.225,12391.225
2014,17608.125,319.60075,.97121,.9582573986821192,12998.4,12998.4
2015,18295,322.1125,.97299,.9682926739141884,13532.85,13532.85
2016,18804.9,324.60925,.982845,.983498242267795,13928.9,13928.9
2017,19612.1,326.85975,1,1,14613.95,14613.95
2018,20656.525,328.79475,1.02047,1.017457625155496,15454.075,15454.075
2019,21539.975,330.5125,1.0350875,1.032458638949788,16164.5,16164.5
2020,21375.275,331.83975,1.046665,1.054165929230739,17383.425,17163.576
2021,23725.65,332.505,1.089725,1.075364809498979,18800.9,18332.129
2022,26054.6,334.3725,1.161005,1.102030403525193,18910.55,19628.004
2023,27811.5,337.14075,1.2051075,1.130800998157174,20749.25,21010.893
2024,29298.025,340.21225,1.23666,1.160067605952424,21917.675,22038.619
2025,30709.3259622,342.2475057676087,1.26966355194,1.188063592995,22960.415411975,22960.416
2026,32285.879309975,343.4164778144963,1.3030951397175,1.2165980996525,24127.4434106,24127.443
2027,33634.220385,344.2761874137017,1.3307825141225,1.243973483205,25088.275341225,25088.275
2028,34944.15367195,345.1799225303383,1.357748905095,1.2715053171625,26088.76552165,26088.766
2029,36257.74317175,346.1341051458185,1.38498427082,1.2994503221,27045.251556075,27045.252
2030,37630.445875275,347.1395515178037,1.412457383355,1.327891553615,28054.550884975,28054.551
2031,39068.92333275,348.150751146506,1.44025749666,1.35691719667,29174.1643955,29174.164
2032,40583.827794325,349.10673711173,1.4684822776925,1.3864728745175,30368.19872205,30368.199
2033,42171.193244525,349.991190935859,1.4971927703,1.41657505066,31565.304184825,31565.305
2034,43806.28257445,350.8173819328405,1.526422080355,1.447260469775,32825.858565875,32825.859
2035,45495.1844554,351.603139584024,1.5561991014825,1.47855924874,34106.46853085001,34106.469
2036,47245.090585475,352.364815924503,1.5865480530025,1.5104987945375,35434.33000885,35434.328
2037,49056.111688875,353.0972923523273,1.6174867761425,1.5431062685425,36780.95480235,36780.953
2038,50935.30702345,353.78066979885,1.649029184915,1.5764038844025,38183.35000075,38183.352
2039,52888.987416125,354.407608711535,1.681188902615,1.6104097516275,39637.024456825,39637.023
2040,54910.82637362499,354.9790721464275,1.7139794899425,1.6451434071925,41137.154041675,41137.152
2041,56992.56425715,355.4957803886258,1.7474144797825,1.680624206245,42677.889516675,42677.891
2042,59137.8013271,355.9584021558505,1.7815068602975,1.716871182285,44296.6308177,44296.629
2043,61351.623663725,356.3680614600162,1.8162689145275,1.753903453795,45970.5984534,45970.598
2044,63637.949413225,356.7266810391242,1.85171407133,1.79174015911,47691.430073325,47691.43
2045,65989.04558012501,357.036808590358,1.88785518522,1.830400514285,49453.374926025,49453.375
2046,68412.003720575,357.3014436787455,1.924705515715,1.8699038883075,51265.715303425,51265.715
2047,70907.70080505,357.5232173994908,1.962278739145,1.9102698655975,53142.5950979,53142.594
2048,73482.309476175,357.7046426483493,2.0005888846075,1.95151829417,55077.962173025,55077.961
2049,76136.46266622501,357.849288796122,2.0396502720175,1.993669314935,57079.105194575,57079.105
2050,78867.077257625,357.9612094718495,2.079477072065,2.0367434027175,59141.425045275,59141.426
2051,81682.2044803,358.044535761717,2.1200847824475,2.08076140347,61266.17529805,61266.176
2052,84589.831171575,358.1038111098855,2.16148783161,2.1257445469675,63422.55187955,63422.551
2053,87597.695622625,358.143617833939,2.20370146599,2.1717144962775,65686.15856005,65686.156
2054,90710.42636605,358.168072646368,2.2467411954625,2.218693364135,68006.21844625,68006.219
2055,93933.514641275,358.1807804022228,2.2906241097525,2.266703688035,70447.527935475,70447.531
