year,age,female_popwgt,male_popwgt
1989,16,.0072533758357167,.0074181505478919
1989,17,.0076094958931208,.0082144699990749
1989,18,.0083313975483179,.008247003890574
1989,19,.0076425070874393,.0075499322265387
1989,20,.0071530183777213,.0072371284477413
1989,21,.0075657092966139,.0065183313563466
1989,22,.0072207190096378,.0063149873167276
1989,23,.0074086873792112,.0074030719697475
1989,24,.0087428409606218,.0085003366693854
1989,25,.0086122108623385,.0089707123115659
1989,26,.0095293885096908,.0089851431548595
1989,27,.0099261067807674,.0091859074309468
1989,28,.0102841686457396,.0097231054678559
1989,29,.0100086638703942,.0097391000017524
1989,30,.010441180318594,.010349478572607
1989,31,.0107852891087532,.009959508664906
1989,32,.0106847202405334,.0105004468932748
1989,33,.0097481310367584,.0102251842617989
1989,34,.0109161008149385,.0097221555188298
1989,35,.0103664323687553,.0101744318380952
1989,36,.0100738052278757,.010517381131649
1989,37,.0089401323348284,.0091182170435786
1989,38,.0096573177725077,.0088831093162298
1989,39,.0094985673204064,.0092052631080151
1989,40,.0090950625017285,.008379228413105
1989,41,.008958026766777,.0096734836697578
1989,42,.0091269183903933,.0088708214461803
1989,43,.0077895042486489,.0068267714232206
1989,44,.0073612756095827,.0067011155188084
1989,45,.0072334078140557,.0073763504624367
1989,46,.0076105277985334,.007410594727844
1989,47,.0070341248065233,.0065818810835481
1989,48,.0065579293295741,.0058997394517064
1989,49,.0062359380535781,.0061439946293831
1989,50,.0058280783705413,.0059577696956694
1989,51,.0060354466550052,.0056187990121543
1989,52,.0052749430760741,.00503263855353
1989,53,.0059881820343435,.005498833488673
1989,54,.0052665057592094,.0049332082271576
1989,55,.004850260913372,.0049352338537574
1989,56,.0059344819746912,.0050452463328838
1989,57,.0054477010853589,.0048838104121387
1989,58,.0052195345051587,.0050363386981189
1989,59,.0058043864555657,.0054397955536842
1989,60,.0055276108905673,.0052424040623009
1989,61,.005825696978718,.004871993791312
1989,62,.0052319280803204,.0048154578544199
1989,63,.0052242618985474,.004341796040535
1989,64,.0054263710044324,.0049727912992239
1990,0,.0078706918284297,.0084619699046016
1990,1,.0080639431253076,.0083224698901176
1990,2,.008051635697484,.0080067636445165
1990,3,.0081252278760076,.0086416676640511
